Object Name,Object ID,Property ID,Index,Value,Description
Carbon Dioxide Sensor Calibration Offset,analogValue:35,presentValue,,0.00,Carbon Dioxide Sensor Calibration Offset
Low Ambient Protection Setpoint,analogValue:36,presentValue,,30.00,Low Ambient Protection Setpoint
SAT Cool Setpoint Reset Source Lo Limit,analogValue:37,presentValue,,70.00,SAT Cool Setpoint Reset Source Lo Limit
SAT Cool Setpoint Reset Source Hi Limit,analogValue:38,presentValue,,75.00,SAT Cool Setpoint Reset Source Hi Limit
SAT Heat Setpoint Reset Source Lo Limit,analogValue:39,presentValue,,70.00,SAT Heat Setpoint Reset Source Lo Limit
SAT Heat Setpoint Reset Source Hi Limit,analogValue:40,presentValue,,75.00,SAT Heat Setpoint Reset Source Hi Limit
Control Temperature High Alarm Offset,analogValue:41,presentValue,,30.00,Control Temperature High Alarm Offset
Control Temperature Low Alarm Offset,analogValue:42,presentValue,,30.00,Control Temperature Low Alarm Offset
Heat Pump Compressor Heat Lockout,analogValue:43,presentValue,,35.00,Heat Pump Compressor Heat Lockout
Maximum Main Fan VFD in SZVAV Mode,analogValue:44,presentValue,,100.00,Maximum Main Fan VFD in SZVAV Mode
Minimum Main Fan VFD in Cooling Mode,analogValue:45,presentValue,,30.00,Minimum Main Fan VFD in Cooling Mode
Minimum Main Fan VFD in HeatingMode,analogValue:46,presentValue,,50.00,Minimum Main Fan VFD in HeatingMode
Minimum Main Fan VFD in Vent Mode,analogValue:47,presentValue,,20.00,Minimum Main Fan VFD in Vent Mode
Maximum Economizer in Heating Mode,analogValue:48,presentValue,,50.00,Maximum Economizer in Heating Mode
Minimum Economizer Position,analogValue:49,presentValue,,10.00,Minimum Economizer Position
Maximum Economizer CO2 Reset Limit,analogValue:50,presentValue,,50.00,Maximum Economizer CO2 Reset Limit
Minimum Carbon Dioxide Setpoint,analogValue:51,presentValue,,900.00,Minimum Carbon Dioxide Setpoint
Maximum Carbon Dioxide Setpoint,analogValue:52,presentValue,,1000.00,Maximum Carbon Dioxide Setpoint
Indoor Humidity Setpoint Low Reset Limit,analogValue:53,presentValue,,50.00,Indoor Humidity Setpoint Low Reset Limit
Indoor Humidity Setpoint High Reset Limi,analogValue:54,presentValue,,60.00,Indoor Humidity Setpoint High Reset Limi
Duct Static Pressure Setpoint,analogValue:55,presentValue,,1.50,Duct Static Pressure Setpoint
Duct Static Pressure Control Deadband,analogValue:56,presentValue,,0.10,Duct Static Pressure Control Deadband
Building Pressure Control Setpoint,analogValue:57,presentValue,,0.02,Building Pressure Control Setpoint
Building Pressure Control Deadband,analogValue:58,presentValue,,0.01,Building Pressure Control Deadband
Minimum Outdoor CFM Requirement,analogValue:59,presentValue,,2.00,Minimum Outdoor CFM Requirement
Outdoor CFM Control Deadband,analogValue:60,presentValue,,200.00,Outdoor CFM Control Deadband
Single Zone VAV Fan Speed Integral,analogValue:61,presentValue,,0.00,Single Zone VAV Fan Speed Integral
Relay Run-time Hours Warning Limit,analogValue:62,presentValue,,0.00,Relay Run-time Hours Warning Limit
Cooling Mode Head Pressure Setpoint,analogValue:63,presentValue,,315.00,Cooling Mode Head Pressure Setpoint
Dehum Mode Head Pressure Setpoint,analogValue:64,presentValue,,400.00,Dehum Mode Head Pressure Setpoint
Superheat Setpoint,analogValue:65,presentValue,,15.00,Superheat Setpoint
Maximum Outdoor CFM Requirement,analogValue:66,presentValue,,2.00,Maximum Outdoor CFM Requirement
Schedule Force,analogValue:67,presentValue,,1.00,Schedule Force
Hvac Mode Override,analogValue:68,presentValue,,0.00,Hvac Mode Override
Fan Vfd Override,analogValue:69,presentValue,, -1.00,Fan Vfd Override
Outdoor Air Damper Override,analogValue:70,presentValue,, -1.00,Outdoor Air Damper Override
Supply Setpoint Override,analogValue:71,presentValue,,0.00,Supply Setpoint Override
Space Temperature Override,analogValue:72,presentValue,,0.00,Space Temperature Override
Space Humidity Override,analogValue:73,presentValue,, -1.00,Space Humidity Override
Indoor RH Calibration Offset,analogValue:74,presentValue,,0.00,Indoor RH Calibration Offset
Relief Fan Vfd Override,analogValue:75,presentValue,, -1.00,Relief Fan Vfd Override
Relief Pressure Override,analogValue:76,presentValue,, -1.00,Relief Pressure Override
Carbon Dioxide Override,analogValue:77,presentValue,, -1.00,Carbon Dioxide Override
Outdoor Air Temperature Override,analogValue:78,presentValue,, -100.00,Outdoor Air Temperature Override
Outdoor Air Humidity Override,analogValue:79,presentValue,, -1.00,Outdoor Air Humidity Override
Reserved,analogValue:80,presentValue,,30.00,Reserved
Reserved,analogValue:81,presentValue,,20.00,Reserved
Reserved,analogValue:82,presentValue,,0.20,Reserved
Reserved,analogValue:83,presentValue,,0.10,Reserved
Comparative Enthalpy Enable Setpoint,analogValue:84,presentValue,,28.00,Comparative Enthalpy Enable Setpoint
Comparative Enthalpy Enable Deadband,analogValue:85,presentValue,,0.50,Comparative Enthalpy Enable Deadband
Max Static Setpoint Reset Limit,analogValue:86,presentValue,,1.50,Max Static Setpoint Reset Limit
Min Static Setpoint Reset Limit,analogValue:87,presentValue,,1.50,Min Static Setpoint Reset Limit
Static Setpoint Reset Rate,analogValue:88,presentValue,,15.00,Static Setpoint Reset Rate
Cool-Down Target Temperature,analogValue:89,presentValue,,72.00,Cool-Down Target Temperature
Warm-up Mode Override,analogValue:90,presentValue,,0.00,Warm-up Mode Override
Cool-down Mode Override,analogValue:91,presentValue,,0.00,Cool-down Mode Override
Return Air Hi Limit Protection,analogValue:92,presentValue,,80.00,Return Air Hi Limit Protection
Return Air Lo Limit Protection,analogValue:93,presentValue,,60.00,Return Air Lo Limit Protection
Sump Drain Override,analogValue:94,presentValue,,0.00,Sump Drain Override
